Country,Year,Value,Source,Notes,ISO3
Guyana,1980,834.4999,,6705,GUY
Jamaica,1980,1912.6,,6705,JAM
Trinidad and Tobago,1980,828.6,,6705,TTO
Haiti,1980,348.4,,6705,HTI
Dominican Republic,1980,2173,,6705,DOM
Guyana,1981,909.9,,6705,GUY
Dominican Republic,1981,2549,,6705,DOM
Trinidad and Tobago,1981,1052,,6705,TTO
Jamaica,1981,2212,,6705,JAM
Haiti,1981,372,,6705,HTI
Jamaica,1982,2690,,6705,JAM
Haiti,1982,410,,6705,HTI
Guyana,1982,998.8,,6705,GUY
Trinidad and Tobago,1982,1220,,6705,TTO
Dominican Republic,1982,2966,,6705,DOM
Trinidad and Tobago,1983,1423,,6705,TTO
Jamaica,1983,2920,,6705,JAM
Guyana,1983,1245.9,,6705,GUY
Haiti,1983,551,,6705,HTI
Dominican Republic,1983,3313,,6705,DOM
Jamaica,1984,3207,,6705,JAM
Trinidad and Tobago,1984,1539,,6705,TTO
Guyana,1984,1307.8,,6705,GUY
Dominican Republic,1984,3536,,6705,DOM
Haiti,1984,607,,6705,HTI
Jamaica,1985,3355,,6705,JAM
Trinidad and Tobago,1985,1763,,6705,TTO
Haiti,1985,600,,6705,HTI
Dominican Republic,1985,3720,,6705,DOM
Guyana,1985,1520.4999,,6705,GUY
Dominican Republic,1986,3812,,6705,DOM
Guyana,1986,1658.3,,6705,GUY
Jamaica,1986,3575,,6705,JAM
Trinidad and Tobago,1986,1898,,6705,TTO
Haiti,1986,696,,6705,HTI
Guyana,1987,1761.6,,6705,GUY
Dominican Republic,1987,3899,,6705,DOM
Jamaica,1987,4014,,6705,JAM
Haiti,1987,752,,6705,HTI
Trinidad and Tobago,1987,2082,,6705,TTO
Trinidad and Tobago,1988,2012,,6705,TTO
Dominican Republic,1988,3883,,6705,DOM
Jamaica,1988,4002,,6705,JAM
Haiti,1988,778,,6705,HTI
Guyana,1988,1889.9,,6705,GUY
Dominican Republic,1989,4181,,6705,DOM
Trinidad and Tobago,1989,2400,,6705,TTO
Jamaica,1989,4038,,6705,JAM
Haiti,1989,803,,6705,HTI
Guyana,1989,1656.8999,,6705,GUY
Guyana,1990,1820,,6705,GUY
Barbados,1990,1050.2,,,BRB
Haiti,1990,841,,6705,HTI
Antigua and Barbuda,1990,295.3205,,,ATG
Bahamas,1990,198,,1309,BHS
Dominican Republic,1990,4499.12,,6705,DOM
Saint Kitts and Nevis,1990,39.88,,,KNA
Grenada,1990,87.699,,6705,GRD
Saint Vincent and the Grenadines,1990,55.6202,,,VCT
Saint Lucia,1990,70.1275,,,LCA
Dominica,1990,84.7195,,6705,DMA
Dominican Republic,1991,4613.71,,6705,DOM
Antigua and Barbuda,1991,290.2896,,,ATG
Guyana,1991,1855,,6705,GUY
Barbados,1991,1070.1,,,BRB
Dominica,1991,92.8554,,6705,DMA
Saint Lucia,1991,79.615,,,LCA
Saint Vincent and the Grenadines,1991,65.1736,,,VCT
Grenada,1991,88.7836,,6705,GRD
Saint Kitts and Nevis,1991,41.5555,,,KNA
Haiti,1991,809,,6705,HTI
Bahamas,1991,341,,1309,BHS
Dominican Republic,1992,4412.8,,6705,DOM
Bahamas,1992,377.6595,,1309,BHS
Dominica,1992,95.9283,,6705,DMA
Haiti,1992,872.515,,6705,HTI
Saint Kitts and Nevis,1992,44.0387,,,KNA
Saint Vincent and the Grenadines,1992,70.2186,,,VCT
Antigua and Barbuda,1992,279.5814,,,ATG
Saint Lucia,1992,95.9103,,,LCA
