key,value
name,"Saint Kitts and Nevis - Wholesale and retail trade, repair of goods, and hotels and restaurants [CEPALStat]"
originalsource,Economic Commission for Latin America and the Caribbean
proximatesource,CEPALStat
dataset,"Wholesale and retail trade, repair of goods, and hotels and restaurants [2216]"
description,"Sectoral GDP: Wholesale and retail trade, repair of goods, and hotels and restaurants"
category,Economic
type,GDP
file,gdp-sec--wrtrghr_kna_cepalstat.csv
filehash,bbf0a581baa829309ce0e6f8fa7622b0bde9ac18
columns,"year,value,source,notes"
