year,value,source,notes
1990,1099486910,CEPALStat: 733,"CEPALStat: 6432,6495"
1991,1168112654,CEPALStat: 733,"CEPALStat: 6432,6495"
1992,1207905392,CEPALStat: 733,"CEPALStat: 6432,6495"
1993,1298891890,CEPALStat: 733,"CEPALStat: 6432,6495"
1994,1327469963,CEPALStat: 733,"CEPALStat: 6432,6495"
1995,1295957688,CEPALStat: 733,"CEPALStat: 6432,6495"
1996,1319146581,CEPALStat: 733,"CEPALStat: 6432,6495"
1997,1478547445,CEPALStat: 733,"CEPALStat: 6432,6495"
1998,1571396425,CEPALStat: 733,"CEPALStat: 6432,6495"
1999,1877606839,CEPALStat: 733,"CEPALStat: 6432,6495"
2000,1910272988,CEPALStat: 733,"CEPALStat: 6432,6495"
2001,2107142811,CEPALStat: 733,"CEPALStat: 6432,6495"
2002,-2092199175,CEPALStat: 733,"CEPALStat: 6432,6495"
2003,2125064177,CEPALStat: 733,"CEPALStat: 6432,6495"
2004,-2123448291,CEPALStat: 733,"CEPALStat: 6432,6495"
2005,-2090729296,CEPALStat: 733,"CEPALStat: 6432,6495"
2006,2126029091,CEPALStat: 733,"CEPALStat: 6432,6495"
2007,-1924268939,CEPALStat: 733,"CEPALStat: 6432,6495"
2008,-1974491431,CEPALStat: 733,"CEPALStat: 6432,6495"
2009,-2130369053,CEPALStat: 733,"CEPALStat: 6432,6495"
2010,-2065128743,CEPALStat: 733,"CEPALStat: 6432,6495"
2011,-2014941480,CEPALStat: 733,"CEPALStat: 6432,6495"
2012,-2070012029,CEPALStat: 733,"CEPALStat: 6432,6495"
