key,value
name,Cayman Islands - Death rate associated with tuberculosis [CEPALStat]
originalsource,United Nations Statistics Division: Millennium Indicators Database
proximatesource,CEPALStat
dataset,Death rate associated with tuberculosis [357]
description,Proportion of registered deaths caused by tuberculosis in total population during the period of one year
category,Social
type,Health
file,tb-death-rate_cym_cepalstat.csv
filehash,67d101d9dd3742aaa45cec0f55200da5bdae904e
columns,"year,value,source,notes"
